Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 63.0.3239.132,,2020-03-16 09:01:48,2020-03-16 09:56:54,55m - 5.296s,FAILED
,,,,,,
Test Cases/DMS/PricingConditionSupportForLots - Copy/DMSTC-3002_ContractHavingLotWithAPCTerm,Chrome 63.0.3239.132,,2020-03-16 09:01:49,2020-03-16 09:11:38,9m - 49.198s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 63.0.3239.132,,2020-03-16 09:01:49,2020-03-16 09:01:49,0.083s,PASSED
"LOT_TERM_APC_PRICE_LOC = ""//input[@awname='_DerivedStringValue::PCCostTermView_DerivedStringValue:fieldValue']""",Chrome 63.0.3239.132,,2020-03-16 09:01:49,2020-03-16 09:01:49,0.002s,PASSED
"LOTTERMAPCLINK_LOC = ""//a[contains(@awname,'CW Term') and text()='View pricing conditions ']""",Chrome 63.0.3239.132,,2020-03-16 09:01:49,2020-03-16 09:01:49,0.001s,PASSED
service = baseURL,Chrome 63.0.3239.132,,2020-03-16 09:01:49,2020-03-16 09:01:49,0.057s,PASSED
realm = realm,Chrome 63.0.3239.132,,2020-03-16 09:01:49,2020-03-16 09:01:49,0.002s,PASSED
"appLoginUrl = service + ""/Sourcing/Main?realm="" + realm",Chrome 63.0.3239.132,,2020-03-16 09:01:49,2020-03-16 09:01:49,0.002s,PASSED
CW = contractName + System.currentTimeMillis(),Chrome 63.0.3239.132,,2020-03-16 09:01:49,2020-03-16 09:01:49,0.002s,PASSED
"userName = ""customersupportadmin""",Chrome 63.0.3239.132,,2020-03-16 09:01:49,2020-03-16 09:01:49,0.000s,PASSED
"callTestCase(findTestCase(""DMS/UtilTests/LoginIntoApp""), [""appLoginUrl"":appLoginUrl, ""userName"":userName], STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 09:01:49,2020-03-16 09:02:17,27.847s,PASSED
"volumeScaleFeature = ""ariba.sourcing.util.SourcingEventFeatures.PricingConditionsWithScales""",Chrome 63.0.3239.132,,2020-03-16 09:02:17,2020-03-16 09:02:17,0.000s,PASSED
"fromScaleFeature = ""ariba.sourcing.util.SourcingEventFeatures.FromScalesInPricingCondition""",Chrome 63.0.3239.132,,2020-03-16 09:02:17,2020-03-16 09:02:17,0.000s,PASSED
"appendReplaceContract = ""ariba.collaborate.util.CollaborateFeatures.AppendLineItemsInExistingContract""",Chrome 63.0.3239.132,,2020-03-16 09:02:17,2020-03-16 09:02:17,0.001s,PASSED
"apcForBasketLots = ""ariba.sourcing.util.SourcingEventFeatures.PricingConditionForBasketLot""",Chrome 63.0.3239.132,,2020-03-16 09:02:17,2020-03-16 09:02:17,0.000s,PASSED
"prepackMixedCase = ""ariba.sourcing.util.RetailSourcingFeatures.PrePackAndMixedCases""",Chrome 63.0.3239.132,,2020-03-16 09:02:17,2020-03-16 09:02:17,0.001s,PASSED
"itemHierarchy = ""ariba.sourcing.util.SourcingEventFeatures.SourcingItemHierarchy""",Chrome 63.0.3239.132,,2020-03-16 09:02:17,2020-03-16 09:02:17,0.000s,PASSED
"mixedCasedPrepack = ""ariba.sourcing.util.RetailSourcingFeatures.PrePackAndMixedCasesInContract""",Chrome 63.0.3239.132,,2020-03-16 09:02:17,2020-03-16 09:02:17,0.001s,PASSED
"toggleList = [volumeScaleFeature, fromScaleFeature, appendReplaceContract, prepackMixedCase, itemHierarchy, mixedCasedPrepack]",Chrome 63.0.3239.132,,2020-03-16 09:02:17,2020-03-16 09:02:17,0.000s,PASSED
"for ([i = 0, i < toggleList.size(), (i++)])",Chrome 63.0.3239.132,,2020-03-16 09:02:17,2020-03-16 09:07:07,4m - 50.240s,PASSED
"mixedCaseIntegration = ""Application.AQS.ArticleIntegration.MixedCaseIntegration.Enabled""",Chrome 63.0.3239.132,,2020-03-16 09:07:07,2020-03-16 09:07:07,0.000s,PASSED
"mixedCases = ""Application.AQS.ArticleIntegration.MixedCases.Enabled""",Chrome 63.0.3239.132,,2020-03-16 09:07:07,2020-03-16 09:07:07,0.001s,PASSED
"realmParamList = [mixedCaseIntegration, mixedCases]",Chrome 63.0.3239.132,,2020-03-16 09:07:07,2020-03-16 09:07:07,0.000s,PASSED
"for ([i = 0, i < realmParamList.size(), (i++)])",Chrome 63.0.3239.132,,2020-03-16 09:07:07,2020-03-16 09:08:25,1m - 17.721s,PASSED
"common.util.aribakeywords.aribaClick(findTestObject(""Page_Ariba Spend Management/a_TA..""))",Chrome 63.0.3239.132,,2020-03-16 09:08:25,2020-03-16 09:08:32,6.989s,PASSED
"common.util.aribakeywords.aribaClick(findTestObject(""Page_TestCentralPage/Test Central ACM""))",Chrome 63.0.3239.132,,2020-03-16 09:08:32,2020-03-16 09:08:39,7.446s,PASSED
"scrollToElement(findTestObject(""Page_Ariba Spend Management/a_Create Workspace""), 3)",Chrome 63.0.3239.132,,2020-03-16 09:08:39,2020-03-16 09:08:40,0.937s,PASSED
"common.util.aribakeywords.aribaClick(findTestObject(""Page_Ariba Spend Management/a_Create Workspace""))",Chrome 63.0.3239.132,,2020-03-16 09:08:40,2020-03-16 09:08:49,9.098s,PASSED
"setText(findTestObject(""Page_Ariba Spend Management/input_Name of Workspace__bdp8j""), CW)",Chrome 63.0.3239.132,,2020-03-16 09:08:49,2020-03-16 09:08:51,2.161s,PASSED
"setText(findTestObject(""Page_Ariba Spend Management/input_Name of Template__x1sbod""), contractTemplate)",Chrome 63.0.3239.132,,2020-03-16 09:08:51,2020-03-16 09:08:54,2.157s,PASSED
"common.util.aribakeywords.aribaClick(findTestObject(""Object Repository/div_Run Stager""))",Chrome 63.0.3239.132,,2020-03-16 09:08:54,2020-03-16 09:09:17,23.037s,PASSED
try,Chrome 63.0.3239.132,,2020-03-16 09:09:17,2020-03-16 09:10:04,47.502s,PASSED
refresh(),Chrome 63.0.3239.132,,2020-03-16 09:10:04,2020-03-16 09:10:05,1.346s,PASSED
"common.util.aribakeywords.aribaClick(findTestObject(""Page_Ariba Spend Management/View_Project""))",Chrome 63.0.3239.132,,2020-03-16 09:10:05,2020-03-16 09:10:16,10.230s,PASSED
common.util.aribakeywords.waitForPageToLoad(3),Chrome 63.0.3239.132,,2020-03-16 09:10:16,2020-03-16 09:10:18,1.949s,PASSED
refresh(),Chrome 63.0.3239.132,,2020-03-16 09:10:18,2020-03-16 09:10:19,0.854s,PASSED
"common.util.aribakeywords.aribaClick(findTestObject(""Object Repository/Page_Ariba Spend Management/span_Documents_w-pml-icon""))",Chrome 63.0.3239.132,,2020-03-16 09:10:19,2020-03-16 09:10:25,6.919s,PASSED
"openDoc = ""Open::AbstractDocumentDownloadIcon:itemAction""",Chrome 63.0.3239.132,,2020-03-16 09:10:25,2020-03-16 09:10:25,0.000s,PASSED
"openDocLink = modifyObjectProperty(findTestObject(""Object Repository/Page_Ariba Spend Management/span_Import""), ""awname"", ""contains"", openDoc, true)",Chrome 63.0.3239.132,,2020-03-16 09:10:25,2020-03-16 09:10:25,0.007s,PASSED
common.util.aribakeywords.aribaClick(openDocLink),Chrome 63.0.3239.132,,2020-03-16 09:10:25,2020-03-16 09:10:37,11.566s,PASSED
"common.util.aribakeywords.aribaClick(findTestObject(""Object Repository/Page_ASPEditContentDocument/span_Excel Import""))",Chrome 63.0.3239.132,,2020-03-16 09:10:37,2020-03-16 09:10:44,6.960s,PASSED
"uploadDoc = ""ASCContentFrame:excelImportAction""",Chrome 63.0.3239.132,,2020-03-16 09:10:44,2020-03-16 09:10:44,0.000s,PASSED
"uploadDocLink = modifyObjectProperty(findTestObject(""Object Repository/Page_Ariba Spend Management/span_Import""), ""awname"", ""equals"", uploadDoc, true)",Chrome 63.0.3239.132,,2020-03-16 09:10:44,2020-03-16 09:10:44,0.003s,PASSED
common.util.aribakeywords.aribaClick(uploadDocLink),Chrome 63.0.3239.132,,2020-03-16 09:10:44,2020-03-16 09:10:51,7.474s,PASSED
"comment(""File Upload with xls file and element and click done once it is uploaded"")",Chrome 63.0.3239.132,,2020-03-16 09:10:51,2020-03-16 09:10:51,0.004s,PASSED
"common.util.aribakeywords.fileUpload(findTestObject(""Object Repository/Page_Ariba Spend Management/awFileUploadButton""), filePath)",Chrome 63.0.3239.132,,2020-03-16 09:10:51,2020-03-16 09:10:53,1.320s,PASSED
"excelImportAwname = ""ASPExcelImport:importExcelDocumentAction""",Chrome 63.0.3239.132,,2020-03-16 09:10:53,2020-03-16 09:10:53,0.001s,PASSED
"excelImportBtn = modifyObjectProperty(findTestObject(""Object Repository/Page_Ariba Spend Management/span_Import""), ""awname"", ""equals"", excelImportAwname, true)",Chrome 63.0.3239.132,,2020-03-16 09:10:53,2020-03-16 09:10:53,0.005s,PASSED
common.util.aribakeywords.aribaClick(excelImportBtn),Chrome 63.0.3239.132,,2020-03-16 09:10:53,2020-03-16 09:11:10,17.693s,PASSED
"verifyTextPresent(""View pricing conditions"", false, STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 09:11:10,2020-03-16 09:11:12,1.715s,PASSED
termApcLink = aribakeywords.createTestObject(LOTTERMAPCLINK_LOC),Chrome 63.0.3239.132,,2020-03-16 09:11:12,2020-03-16 09:11:12,0.004s,PASSED
"waitForElementPresent(termApcLink, 2, STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 09:11:12,2020-03-16 09:11:13,0.441s,PASSED
"verifyElementPresent(termApcLink, 2, STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 09:11:13,2020-03-16 09:11:13,0.431s,PASSED
common.util.aribakeywords.aribaClick(termApcLink),Chrome 63.0.3239.132,,2020-03-16 09:11:13,2020-03-16 09:11:22,8.612s,PASSED
common.util.aribakeywords.waitForPageToLoad(3),Chrome 63.0.3239.132,,2020-03-16 09:11:22,2020-03-16 09:11:24,1.836s,PASSED
driver = getWebDriver(),Chrome 63.0.3239.132,,2020-03-16 09:11:24,2020-03-16 09:11:24,0.000s,PASSED
"verifyTextPresent(""Dec 2019 - Dec 9999"", false, STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 09:11:24,2020-03-16 09:11:25,1.165s,PASSED
"verifyTextPresent(""To 5"", false, STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 09:11:25,2020-03-16 09:11:26,1.118s,PASSED
"termValue = xpath(LOT_TERM_APC_PRICE_LOC)).getAttribute(""value"")",Chrome 63.0.3239.132,,2020-03-16 09:11:26,2020-03-16 09:11:27,0.916s,PASSED
"verifyMatch(termValue, ""44"", false, STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 09:11:27,2020-03-16 09:11:27,0.004s,PASSED
try,Chrome 63.0.3239.132,,2020-03-16 09:11:27,2020-03-16 09:11:35,8.568s,PASSED
common.util.aribakeywords.waitForPageToLoad(3),Chrome 63.0.3239.132,,2020-03-16 09:11:35,2020-03-16 09:11:37,1.958s,PASSED
closeBrowser(),Chrome 63.0.3239.132,,2020-03-16 09:11:37,2020-03-16 09:11:38,0.521s,PASSED
,,,,,,
Test Cases/DMS/PricingConditionSupportForLots - Copy/DMSTC-2917_DownloadBidComparisonWithAPCLot,Chrome 63.0.3239.132,,2020-03-16 09:11:38,2020-03-16 09:20:39,9m - 0.910s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 63.0.3239.132,,2020-03-16 09:11:38,2020-03-16 09:11:38,0.002s,PASSED
"APCLOT_LOT = ""//tr[@awname='0.3::AWRefreshRegion']""",Chrome 63.0.3239.132,,2020-03-16 09:11:38,2020-03-16 09:11:38,0.000s,PASSED
"APCLOT_CHILDITEM_LOC = ""//tr[@awname='0.3_0.3.1::AWRefreshRegion']""",Chrome 63.0.3239.132,,2020-03-16 09:11:38,2020-03-16 09:11:38,0.001s,PASSED
"APCLINK_LOC = ""//a[@awname='0.3_RITASHORTSTRINGIFZ000003Computed Term::RITASHORTSTRINGIFZ000003:pricingInfoDisplay']""",Chrome 63.0.3239.132,,2020-03-16 09:11:38,2020-03-16 09:11:38,0.000s,PASSED
"LOT_TERM_APC_PRICE_LOC = ""//input[@awname='_DerivedStringValue::PCCostTermView_DerivedStringValue:fieldValue']""",Chrome 63.0.3239.132,,2020-03-16 09:11:38,2020-03-16 09:11:38,0.000s,PASSED
"EXPANDLOTBTN = ""//a[@awname='_Award_8_4_Award::AWTRowAttributeExpandoColumnRenderer:table.pivotState.toggleDetailAttributesExpanded']//div""",Chrome 63.0.3239.132,,2020-03-16 09:11:38,2020-03-16 09:11:38,0.000s,PASSED
"BIDCOMPARISON_BTN = ""//button[@awname='ASCContentPivot:advancedPricingBidComparisonExcelExportAction']""",Chrome 63.0.3239.132,,2020-03-16 09:11:38,2020-03-16 09:11:38,0.001s,PASSED
service = baseURL,Chrome 63.0.3239.132,,2020-03-16 09:11:38,2020-03-16 09:11:38,0.000s,PASSED
realm = realm,Chrome 63.0.3239.132,,2020-03-16 09:11:38,2020-03-16 09:11:38,0.000s,PASSED
"appLoginUrl = service + ""/Sourcing/Main?realm="" + realm",Chrome 63.0.3239.132,,2020-03-16 09:11:38,2020-03-16 09:11:38,0.001s,PASSED
"userName = ""customersupportadmin""",Chrome 63.0.3239.132,,2020-03-16 09:11:38,2020-03-16 09:11:38,0.000s,PASSED
"CW = ""ACPContractWithLot_"" + System.currentTimeMillis()",Chrome 63.0.3239.132,,2020-03-16 09:11:38,2020-03-16 09:11:38,0.000s,PASSED
sourcingEvent = sourcingEvent + System.currentTimeMillis(),Chrome 63.0.3239.132,,2020-03-16 09:11:38,2020-03-16 09:11:38,0.000s,PASSED
"callTestCase(findTestCase(""DMS/UtilTests/LoginIntoApp""), [""appLoginUrl"":appLoginUrl, ""userName"":userName], STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 09:11:38,2020-03-16 09:12:01,23.453s,PASSED
"volumeScaleFeature = ""ariba.sourcing.util.SourcingEventFeatures.PricingConditionsWithScales""",Chrome 63.0.3239.132,,2020-03-16 09:12:01,2020-03-16 09:12:01,0.000s,PASSED
"fromScaleFeature = ""ariba.sourcing.util.SourcingEventFeatures.FromScalesInPricingCondition""",Chrome 63.0.3239.132,,2020-03-16 09:12:01,2020-03-16 09:12:01,0.000s,PASSED
"appendReplaceContract = ""ariba.collaborate.util.CollaborateFeatures.AppendLineItemsInExistingContract""",Chrome 63.0.3239.132,,2020-03-16 09:12:01,2020-03-16 09:12:01,0.000s,PASSED
"apcForBasketLots = ""ariba.sourcing.util.SourcingEventFeatures.PricingConditionForBasketLot""",Chrome 63.0.3239.132,,2020-03-16 09:12:01,2020-03-16 09:12:01,0.000s,PASSED
"prepackMixedCase = ""ariba.sourcing.util.RetailSourcingFeatures.PrePackAndMixedCases""",Chrome 63.0.3239.132,,2020-03-16 09:12:01,2020-03-16 09:12:01,0.000s,PASSED
"itemHierarchy = ""ariba.sourcing.util.SourcingEventFeatures.SourcingItemHierarchy""",Chrome 63.0.3239.132,,2020-03-16 09:12:01,2020-03-16 09:12:01,0.000s,PASSED
"mixedCasedPrepack = ""ariba.sourcing.util.RetailSourcingFeatures.PrePackAndMixedCasesInContract""",Chrome 63.0.3239.132,,2020-03-16 09:12:01,2020-03-16 09:12:01,0.000s,PASSED
"toggleList = [volumeScaleFeature, fromScaleFeature, appendReplaceContract, prepackMixedCase, itemHierarchy, mixedCasedPrepack]",Chrome 63.0.3239.132,,2020-03-16 09:12:01,2020-03-16 09:12:01,0.000s,PASSED
"for ([i = 0, i < toggleList.size(), (i++)])",Chrome 63.0.3239.132,,2020-03-16 09:12:01,2020-03-16 09:16:58,4m - 56.572s,PASSED
"mixedCaseIntegration = ""Application.AQS.ArticleIntegration.MixedCaseIntegration.Enabled""",Chrome 63.0.3239.132,,2020-03-16 09:16:58,2020-03-16 09:16:58,0.000s,PASSED
"mixedCases = ""Application.AQS.ArticleIntegration.MixedCases.Enabled""",Chrome 63.0.3239.132,,2020-03-16 09:16:58,2020-03-16 09:16:58,0.000s,PASSED
"realmParamList = [mixedCaseIntegration, mixedCases]",Chrome 63.0.3239.132,,2020-03-16 09:16:58,2020-03-16 09:16:58,0.000s,PASSED
"for ([i = 0, i < realmParamList.size(), (i++)])",Chrome 63.0.3239.132,,2020-03-16 09:16:58,2020-03-16 09:18:17,1m - 19.237s,PASSED
"callTestCase(findTestCase(""DMS/UtilTests/CreateSourcingEvent""), [""sourcingEvent"":sourcingEvent, ""eventType"":eventType, ""rfpEventTemplate"":rfpEventTemplate, ""eventContentFileName"":eventContentFileName, ... ], STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 09:18:17,2020-03-16 09:20:39,2m - 21.460s,FAILED
,,,,,,
Test Cases/DMS/PricingConditionSupportForLots - Copy/DMSTC-2920_CreateContractFromEventContentWithAPCLot,Chrome 63.0.3239.132,,2020-03-16 09:20:39,2020-03-16 09:27:33,6m - 53.867s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 63.0.3239.132,,2020-03-16 09:20:39,2020-03-16 09:20:39,0.001s,PASSED
"APCLOT_LOT = ""//tr[@awname='0.3::AWRefreshRegion']""",Chrome 63.0.3239.132,,2020-03-16 09:20:39,2020-03-16 09:20:39,0.000s,PASSED
"APCLOT_CHILDITEM_LOC = ""//tr[@awname='0.3_0.3.1::AWRefreshRegion']""",Chrome 63.0.3239.132,,2020-03-16 09:20:39,2020-03-16 09:20:39,0.000s,PASSED
"APCLINK_LOC = ""//a[@awname='0.3_RITASHORTSTRINGIFZ000003Computed Term::RITASHORTSTRINGIFZ000003:pricingInfoDisplay']""",Chrome 63.0.3239.132,,2020-03-16 09:20:39,2020-03-16 09:20:39,0.000s,PASSED
"LOT_TERM_APC_PRICE_LOC = ""//input[@awname='_DerivedStringValue::PCCostTermView_DerivedStringValue:fieldValue']""",Chrome 63.0.3239.132,,2020-03-16 09:20:39,2020-03-16 09:20:39,0.001s,PASSED
"EXPANDLOTBTN = ""//a[@awname='_Award_8_4_Award::AWTRowAttributeExpandoColumnRenderer:table.pivotState.toggleDetailAttributesExpanded']//div""",Chrome 63.0.3239.132,,2020-03-16 09:20:39,2020-03-16 09:20:39,0.000s,PASSED
service = baseURL,Chrome 63.0.3239.132,,2020-03-16 09:20:39,2020-03-16 09:20:39,0.000s,PASSED
realm = realm,Chrome 63.0.3239.132,,2020-03-16 09:20:39,2020-03-16 09:20:39,0.000s,PASSED
"appLoginUrl = service + ""/Sourcing/Main?realm="" + realm",Chrome 63.0.3239.132,,2020-03-16 09:20:39,2020-03-16 09:20:39,0.001s,PASSED
"userName = ""customersupportadmin""",Chrome 63.0.3239.132,,2020-03-16 09:20:39,2020-03-16 09:20:39,0.000s,PASSED
"CW = ""ACPContractWithLot_"" + System.currentTimeMillis()",Chrome 63.0.3239.132,,2020-03-16 09:20:39,2020-03-16 09:20:39,0.000s,PASSED
sourcingEvent = sourcingEvent + System.currentTimeMillis(),Chrome 63.0.3239.132,,2020-03-16 09:20:39,2020-03-16 09:20:39,0.000s,PASSED
"callTestCase(findTestCase(""DMS/UtilTests/LoginIntoApp""), [""appLoginUrl"":appLoginUrl, ""userName"":userName], STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 09:20:39,2020-03-16 09:21:02,23.057s,PASSED
"callTestCase(findTestCase(""DMS/UtilTests/CreateSourcingEvent""), [""sourcingEvent"":sourcingEvent, ""eventType"":eventType, ""rfpEventTemplate"":rfpEventTemplate, ""eventContentFileName"":eventContentFileName, ... ], STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 09:21:02,2020-03-16 09:24:58,3m - 56.579s,PASSED
"aribakeywords.aribaClick(findTestObject(""Object Repository/a_Buyer Monitoring Page""))",Chrome 63.0.3239.132,,2020-03-16 09:24:58,2020-03-16 09:25:10,11.308s,PASSED
aribakeywords.waitForPageToLoad(3),Chrome 63.0.3239.132,,2020-03-16 09:25:10,2020-03-16 09:25:12,1.943s,PASSED
refresh(),Chrome 63.0.3239.132,,2020-03-16 09:25:12,2020-03-16 09:25:13,1.148s,PASSED
try,Chrome 63.0.3239.132,,2020-03-16 09:25:13,2020-03-16 09:25:20,6.839s,PASSED
try,Chrome 63.0.3239.132,,2020-03-16 09:25:20,2020-03-16 09:25:26,6.691s,FAILED
catch (Exception e),Chrome 63.0.3239.132,,2020-03-16 09:25:26,2020-03-16 09:25:26,0.001s,PASSED
